Id,Ident,Type,Name,Latitude_deg,Longitude_deg,Elevation_ft,Continent,Country_name,Iso_country,Region_name,Iso_region,Local_region,Municipality,Scheduled_service,Gps_code,Iata_code,Local_code,Home_link,Wikipedia_link,Keywords,Score,Last_updated
9901,2Y3,seaplane_base,"Yakutat Seaplane Base",59.5625,-139.74099731445312,,NA,"United States",US,Alaska,US-AK,AK,Yakutat,0,2Y3,,2Y3,,,,25,2008-06-13T14:30:04+00:00
41543,NO-0003,seaplane_base,"Kilen Seaplane Base",59.89238,10.59803,,EU,Norway,NO,Viken,NO-30,30,,0,,,,http://www.kilensjoflyklubb.no/,,,0,2016-10-15T00:30:58+00:00
46494,CLP3,seaplane_base,"Lac Polaris (pourvoirie Mirage)",53.8005555556,-72.8666666667,1300,NA,Canada,CA,Quebec,CA-QC,QC,,0,CLP3,,,,,"Pourvoirie Mirage, Mirage outfitter",0,2010-08-04T10:26:23+00:00
298393,CA-0464,seaplane_base,"Saint-François-de-Laval (Laval Aviation)",45.6931260794,-73.58091115949999,,NA,Canada,CA,Quebec,CA-QC,QC,,0,,,,,,,0,2011-04-23T14:54:32+00:00
308670,MV-0001,seaplane_base,"Biyadoo Island",3.92496803919,73.4516716003,,AS,Maldives,MV,"Malé Capital",MV-MLE,MLE,,0,,,,,,,0,2013-05-15T10:16:41+00:00
351549,EKCC,seaplane_base,"København Vandflyveplads",55.69119,12.60009,,EU,Denmark,DK,"Capital Region",DK-84,84,,0,EKCC,,,,,,0,2022-01-16T09:19:21+00:00
326142,EKAC,seaplane_base,"Aarhus Seaplane Terminal",56.151717,10.248428,,EU,Denmark,DK,"Central Jutland",DK-82,82,Aarhus,0,EKAC,,,,,,0,2021-02-03T17:47:38+00:00
330170,US-1067,seaplane_base,"Lake Sawyer Double EE Seaplane Base",47.333418,-122.033576,520,NA,"United States",US,Washington,US-WA,WA,"Black Diamond",0,WA41,,WA41,,,,0,2019-01-22T00:14:11+00:00
312330,NFCS,seaplane_base,"Castaway Island Seaplane Base",-17.7358,177.129,0,OC,Fiji,FJ,Western,FJ-W,W,"Castaway Island",0,NFCS,CST,,,,,0,2014-06-29T13:44:47+00:00
45869,29VT,seaplane_base,"Middle Hero Seaplane Base",44.756389,-73.266667,105,NA,"United States",US,Vermont,US-VT,VT,"Grand Isle",0,29VT,,29VT,,,,0,2009-12-06T18:38:00+00:00
335116,US-1493,seaplane_base,"Dry Tortugas Seaplane Base",24.626836,-82.871925,,NA,"United States",US,Florida,US-FL,FL,"Key West",0,,,,https://keywestseaplanecharters.com/,,,0,2020-07-14T17:01:44+00:00
342586,US-3442,seaplane_base,"Lake Hamilton Seaplane Base",28.056631,-81.638046,120,NA,"United States",US,Florida,US-FL,FL,"Lake Hamilton",0,,,,,,,0,2021-04-01T16:24:08+00:00
45870,36VT,seaplane_base,"North Hero Passage Seaplane Base",44.854722,-73.285556,102,NA,"United States",US,Vermont,US-VT,VT,"North Hero",0,36VT,,36VT,,,,0,2009-12-06T18:38:02+00:00
337681,PH-0214,seaplane_base,"Air Juan Puerto Galera Seaplane Base",13.50946,120.94719,,AS,Philippines,PH,"Oriental Mindoro Province",PH-MDR,MDR,"Puerto Galera",0,,,,,,,0,2020-12-13T12:31:57+00:00
