Id,Ident,Type,Name,Latitude_deg,Longitude_deg,Gps_code,Iata_code,Local_code
4333,LIEO,medium_airport,Olbia Costa Smeralda Airport,40.898701,9.51763,LIEO,OLB,SS03
4334,LIET,medium_airport,Tortolì Airport,39.9188,9.68298,LIET,TTB,NU01
4340,LIMC,large_airport,Malpensa International Airport,45.6306,8.72811,LIMC,MXP,MI12
4341,LIME,large_airport,Milan Bergamo Airport,45.673901,9.70417,LIME,BGY,BG01
4342,LIMF,large_airport,Turin Airport,45.200802,7.64963,LIMF,TRN,TO11
4343,LIMG,medium_airport,Villanova D'Albenga International Airport,44.050598,8.12743,LIMG,ALL,SV01
4344,LIMJ,medium_airport,Genoa Cristoforo Colombo Airport,44.4133,8.8375,LIMJ,GOA,GE01
4345,LIML,medium_airport,Milano Linate Airport,45.445099,9.27674,LIML,LIN,MI11
4347,LIMP,medium_airport,Parma Airport,44.824501,10.2964,LIMP,PMF,PR03
4349,LIMW,medium_airport,Aosta Airport,45.738499,7.36872,LIMW,AOT,AO01
4350,LIMZ,medium_airport,Cuneo International Airport,44.547001,7.62322,LIMZ,CUF,CN03
4352,LIPB,medium_airport,Bolzano Airport,46.460201,11.3264,LIPB,BZO,BZ01
4354,LIPE,large_airport,Bologna Guglielmo Marconi Airport,44.5354,11.2887,LIPE,BLQ,BO08
4355,LIPH,medium_airport,Treviso-Sant'Angelo Airport,45.648399,12.1944,LIPH,TSF,TV01
4357,LIPK,medium_airport,Forlì Airport,44.194801,12.0701,LIPK,FRL,FC03
4360,LIPO,medium_airport,Brescia Airport,45.428902,10.3306,LIPO,VBS,BS04
4361,LIPQ,medium_airport,Trieste–Friuli Venezia Giulia Airport,45.827499,13.4722,LIPQ,TRS,GO02
4362,LIPR,medium_airport,Federico Fellini International Airport,44.020302,12.6117,LIPR,RMI,RN01
4366,LIPX,large_airport,Verona-Villafranca Valerio Catullo Airport,45.394955,10.887303,LIPX,VRN,VR10
4367,LIPY,medium_airport,Marche Airport,43.616299,13.3623,LIPY,AOI,AN01
4368,LIPZ,large_airport,Venice Marco Polo Airport,45.505299,12.3519,LIPZ,VCE,VE05
