Id,Ident,Type,Name,Latitude_deg,Longitude_deg,Elevation_ft,Continent,Country_name,Iso_country,Region_name,Iso_region,Local_region,Municipality,Scheduled_service,Gps_code,Iata_code,Local_code,Home_link,Wikipedia_link,Keywords,Score,Last_updated,TranslateName
5867,SBBE,large_airport,"Val de Cans/Júlio Cezar Ribeiro International Airport",-1.379279,-48.476207,54,SA,Brazil,BR,Pará,BR-PA,PA,Belém,1,SBBE,BEL,PA0001,http://www.infraero.gov.br/index.php/br/aeroportos/para/aeroporto-internacional-de-belem.html,https://en.wikipedia.org/wiki/Val_de_Cans_International_Airport,,1050,2021-08-09T16:50:15+00:00,贝伦
2905,FMEE,large_airport,"Roland Garros Airport",-20.8871,55.5103,66,AF,Réunion,RE,(unassigned),RE-U-A,U-A,"St Denis",1,FMEE,RUN,,http://www.reunion.aeroport.fr/index.htm,https://en.wikipedia.org/wiki/Roland_Garros_Airport,"Gillot Airport",1050,2021-08-01T05:25:57+00:00,圣丹尼斯
27192,ZBTJ,large_airport,"Tianjin Binhai International Airport",39.124401092499994,117.346000671,10,AS,China,CN,"Tianjin Municipality",CN-12,12,Tianjin,1,ZBTJ,TSN,,,https://en.wikipedia.org/wiki/Tianjin_Binhai_International_Airport,,1050,2010-08-29T23:10:48+00:00,天津滨海机场
3076,GBYD,large_airport,"Banjul International Airport",13.338,-16.652201,95,AF,Gambia,GM,"Western Division",GM-W,W,Banjul,1,GBYD,BJL,,,https://en.wikipedia.org/wiki/Banjul_International_Airport,"Yundum international Airport",1000,2021-10-14T22:00:03+00:00,班珠尔
3099,GLRB,large_airport,"Roberts International Airport",6.23379,-10.3623,31,AF,Liberia,LR,"Margibi County",LR-MG,MG,Monrovia,1,GLRB,ROB,,,https://en.wikipedia.org/wiki/Roberts_International_Airport,,1000,2019-01-13T13:02:12+00:00,
5011,NVVV,large_airport,"Bauerfield International Airport",-17.699301,168.320007,70,OC,Vanuatu,VU,Shefa,VU-SEE,SEE,"Port Vila",1,NVVV,VLI,,,https://en.wikipedia.org/wiki/Bauerfield_International_Airport,"Efate Field, Vila Field, McDonald Field, Bauer Field",1000,2021-03-26T16:07:15+00:00,维拉港
5197,OISS,large_airport,"Shiraz Shahid Dastghaib International Airport",29.5392,52.589802,4927,AS,Iran,IR,"Fars Province",IR-07,07,Shiraz,1,OISS,SYZ,,http://shirazairport.ir/,https://en.wikipedia.org/wiki/Shiraz_International_Airport,,1200,2020-03-28T00:01:26+00:00,设拉子机场
5303,OSDI,large_airport,"Damascus International Airport",33.4114990234375,36.51559829711914,2020,AS,Syria,SY,"Damascus Governorate",SY-DI,DI,Damascus,1,OSDI,DAM,,,https://en.wikipedia.org/wiki/Damascus_International_Airport,"مطار دمشق الدولي",1050,2009-02-04T17:17:48+00:00,大马士革机场
26727,VYMD,large_airport,"Mandalay International Airport",21.702199935913086,95.97789764404297,300,AS,Burma,MM,"Mandalay Division",MM-04,04,Mandalay,1,VYMD,MDL,,,https://en.wikipedia.org/wiki/Mandalay_International_Airport,,1050,2009-07-04T07:48:06+00:00,曼德勒机场
27221,ZSNJ,large_airport,"Nanjing Lukou International Airport",31.735032,118.865949,49,AS,China,CN,"Jiangsu Province",CN-32,32,Nanjing,1,ZSNJ,NKG,,,https://en.wikipedia.org/wiki/Nanjing_Lukou_International_Airport,,1000,2021-10-12T16:26:41+00:00,南京禄口机场
6507,UNNT,large_airport,"Novosibirsk Tolmachevo Airport",55.019756,82.618675,365,EU,Russia,RU,"Novosibirsk Oblast",RU-NVS,NVS,Novosibirsk,1,UNNT,OVB,,http://eng.tolmachevo.ru/,https://en.wikipedia.org/wiki/Tolmachevo_Airport,,1000,2021-10-12T13:23:52+00:00,新西伯利亚机场
5673,RODN,large_airport,"Kadena Air Base",26.351667,127.769444,143,AS,Japan,JP,"Okinawa Prefecture",JP-47,47,,0,RODN,DNA,,,https://en.wikipedia.org/wiki/Kadena_Air_Base,,850,2020-10-19T11:07:16+00:00,
6481,UKLL,large_airport,"Lviv International Airport",49.8125,23.9561,1071,EU,Ukraine,UA,"Lviv Oblast",UA-46,46,Lviv,1,UKLL,LWO,,http://www.airport.lviv.ua/index.php?id=home&L=1,https://en.wikipedia.org/wiki/Lviv_International_Airport,"Міжнародний аеропорт ""Львів""",1200,2021-08-01T05:06:08+00:00,
2908,FMMI,large_airport,"Ivato Airport",-18.7969,47.478802,4198,AF,Madagascar,MG,Antananarivo,MG-T,T,Antananarivo,1,FMMI,TNR,,,https://en.wikipedia.org/wiki/Ivato_Airport,,1050,2019-01-13T13:39:04+00:00,塔那那利佛
44483,TN-0002,large_airport,"Enfidha - Hammamet International Airport",36.075833,10.438611,21,AF,Tunisia,TN,"Sousse Governorate",TN-51,51,Enfidha,1,DTNH,NBE,DTNH,http://www.enfidhahammametairport.com/,https://en.wikipedia.org/wiki/Enfidha_%E2%80%93_Hammamet_International_Airport,DTNH,1000,2019-01-02T20:15:22+00:00,
2864,FBSK,large_airport,"Sir Seretse Khama International Airport",-24.555201,25.9182,3299,AF,Botswana,BW,"South-East District",BW-SE,SE,Gaborone,1,FBSK,GBE,,,https://en.wikipedia.org/wiki/Sir_Seretse_Khama_International_Airport,,1000,2019-01-13T13:20:03+00:00,哈伯罗内
6403,TNCB,large_airport,"Flamingo International Airport",12.131,-68.268501,20,NA,"Caribbean Netherlands",BQ,(unassigned),BQ-U-A,U-A,"Kralendijk, Bonaire",1,TNCB,BON,,,https://en.wikipedia.org/wiki/Flamingo_International_Airport,Bonaire,1000,2021-03-09T15:48:54+00:00,
5629,RJTY,large_airport,"Yokota Air Base",35.74850082397461,139.34800720214844,463,AS,Japan,JP,"Tōkyō Prefecture",JP-13,13,Fussa,0,RJTY,OKO,,,https://en.wikipedia.org/wiki/Yokota_Air_Base,,850,2008-08-08T11:30:53+00:00,
5289,ORBI,large_airport,"Baghdad International Airport / New Al Muthana Air Base",33.262501,44.2346,114,AS,Iraq,IQ,"Baghdad Governorate",IQ-BG,BG,Baghdad,1,ORBI,BGW,,,https://en.wikipedia.org/wiki/Baghdad_International_Airport,"SDA, BIAP, VBC, ORBS, Camp Sather, Saddam International Airport, Al Anbar Airport",1150,2021-03-05T13:25:34+00:00,巴格达机场
5566,RJFK,large_airport,"Kagoshima Airport",31.80340003967285,130.718994140625,906,AS,Japan,JP,"Kagoshima Prefecture",JP-46,46,Kagoshima,1,RJFK,KOJ,,,https://en.wikipedia.org/wiki/Kagoshima_Airport,,1150,2009-01-28T17:24:47+00:00,鹿儿岛机场
26378,USSS,large_airport,"Koltsovo Airport",56.743099212646,60.802700042725,764,AS,Russia,RU,"Sverdlovsk Oblast",RU-SVE,SVE,Yekaterinburg,1,USSS,SVX,,http://www.koltsovo.ru/en/,https://en.wikipedia.org/wiki/Koltsovo_Airport,,1150,2015-07-26T09:12:21+00:00,叶卡捷琳堡/科利佐沃机场机场
27219,ZSJN,large_airport,"Jinan Yaoqiang International Airport",36.857201,117.216003,76,AS,China,CN,"Shandong Province",CN-37,37,Jinan,1,ZSJN,TNA,,,https://en.wikipedia.org/wiki/Jinan_Yaoqiang_International_Airport,,1050,2021-10-12T16:04:51+00:00,济南遥墙机场
6195,SMJP,large_airport,"Johan Adolf Pengel International Airport",5.45283,-55.187801,59,SA,Suriname,SR,Para,SR-PR,PR,Zandery,1,SMJP,PBM,,http://www.japi-airport.com,https://en.wikipedia.org/wiki/Johan_Adolf_Pengel_International_Airport,"Zanderij, JAP International Airport, JAPI Airport, JAPIA, ZY Airport",1050,2021-07-31T17:44:05+00:00,
300320,OMDW,large_airport,"Al Maktoum International Airport",24.896356,55.161389,114,AS,"United Arab Emirates",AE,"Dubai Emirate",AE-DU,DU,"Jebel Ali",1,OMDW,DWC,,https://www.dubaiairports.ae/,https://en.wikipedia.org/wiki/Al_Maktoum_International_Airport,,1000,2021-01-11T04:49:35+00:00,
2125,DRRN,large_airport,"Diori Hamani International Airport",13.4815,2.18361,732,AF,Niger,NE,"Niamey Capital District",NE-8,8,Niamey,1,DRRN,NIM,,,https://en.wikipedia.org/wiki/Diori_Hamani_International_Airport,,1000,2019-01-13T13:09:10+00:00,尼亚美机场
6446,UDYZ,large_airport,"Zvartnots International Airport",40.1473007202,44.3959007263,2838,AS,Armenia,AM,"Yerevan (capital district)",AM-ER,ER,Yerevan,1,UDYZ,EVN,,http://www.aia-zvartnots.aero/,https://en.wikipedia.org/wiki/Zvartnots_International_Airport,"UGEE, Erevan Airport, Erivan Airport, Аэропорт Звартноц, Аэропорт Ереван",1200,2013-04-14T07:18:30+00:00,埃里温
2998,FTTJ,large_airport,"N'Djamena International Airport",12.1337,15.034,968,AF,Chad,TD,Chari-Baguirmi,TD-CB,CB,N'Djamena,1,FTTJ,NDJ,,,https://en.wikipedia.org/wiki/N'Djamena_International_Airport,"Ndjamena Hassan Djamous",1050,2019-01-13T13:36:17+00:00,恩贾梅纳
4958,NCRG,large_airport,"Rarotonga International Airport",-21.2026996613,-159.805999756,19,OC,"Cook Islands",CK,(unassigned),CK-U-A,U-A,Avarua,1,NCRG,RAR,,,https://en.wikipedia.org/wiki/Rarotonga_International_Airport,,1275,2013-05-07T12:52:22+00:00,
3066,GABS,large_airport,"Modibo Keita International Airport",12.5335,-7.94994,1247,AF,Mali,ML,"Koulikoro Region",ML-2,2,Bamako,1,GABS,BKO,,,https://en.wikipedia.org/wiki/Bamako%E2%80%93S%C3%A9nou_International_Airport,"Senou Airport",1050,2019-01-13T13:00:28+00:00,
27199,ZHCC,large_airport,"Zhengzhou Xinzheng International Airport",34.526497,113.849165,495,AS,China,CN,"Henan Province",CN-41,41,Zhengzhou,1,ZHCC,CGO,,,https://en.wikipedia.org/wiki/Zhengzhou_Xinzheng_International_Airport,"Xinzheng Airport",1050,2021-12-20T16:44:55+00:00,郑州新郑机场
27238,ZYHB,large_airport,"Harbin Taiping International Airport",45.623402,126.25,457,AS,China,CN,"Heilongjiang Province",CN-23,23,Harbin,1,ZYHB,HRB,,,https://en.wikipedia.org/wiki/Harbin_Taiping_International_Airport,,1000,2021-09-27T22:59:15+00:00,哈尔滨太平机场
